price_usd,brand,model_family,condition_score,release_year,cpu_brand,cpu_family,cpu_generation,cpu_suffix,processor_speed_ghz,gpu_vendor,gpu,ram_gb,storage_type,ssd_gb,hdd_gb,storage_capacity_gb,has_dual_storage,screen_size_inch,resolution_width,resolution_height,os,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_webcam,has_wifi
144,dell,latitude,3,-1,intel,core_i5,intel_2,M,2.5,intel,Intel HD Graphics,4,hdd,0,256,256,0,14,1600,900,unknown,0,0,0,0,0
430.17,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.8,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,12.5,1920,1080,windows,1,1,1,1,1
323.66,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,128,0,128,0,14,1366,768,windows,0,0,1,0,1
443.78,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.3,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,12.5,1920,1080,windows,1,0,1,1,1
75,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.7,intel,Intel HD Graphics,4,hdd,0,256,256,0,14,-1,-1,windows,0,0,1,1,1
456.87,lenovo,other,4,-1,intel,core_i3,intel_7,unknown,3,intel,Intel HD Graphics 620,-1,ssd,128,0,128,0,13.3,1366,768,windows,0,0,1,1,1
314.47,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,256,0,256,0,14,1366,768,windows,0,0,0,0,1
400.21,dell,other,3,-1,intel,core_i5,intel_5,U,2.3,unknown,Unknown,8,unknown,-1,-1,-1,-1,14,-1,-1,windows,0,0,0,0,0
214.69,dell,latitude,3,2019,other,other,unknown,unknown,1.6,intel,Intel UHD Graphics 620,8,ssd,256,0,256,0,14,1366,768,windows,0,0,1,0,1
707.89,lenovo,thinkpad,4,-1,intel,core_i5,intel_6,unknown,3,intel,Intel HD Graphics 520,-1,ssd,512,0,512,0,14,-1,-1,windows,1,0,1,0,1
329.65,fujitsu,lifebook,3,-1,intel,core_i3,intel_6,unknown,3,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,13.3,1366,768,windows,0,0,1,1,1
667.28,fujitsu,lifebook,4,-1,intel,core_i5,intel_4,unknown,-1,intel,Intel HD Graphics 4600,-1,ssd,1024,0,1024,0,15.6,1366,768,windows,0,0,0,0,0
1132.13,lenovo,thinkpad,3,-1,intel,core_i5,intel_6,unknown,-1,intel,Intel HD Graphics 520,-1,ssd,2048,0,2048,0,14,-1,-1,windows,0,0,0,0,0
453.76,lenovo,other,3,-1,intel,core_i3,intel_7,unknown,2.4,intel,Intel HD Graphics 620,-1,ssd,256,0,256,0,13.3,1366,768,windows,0,0,1,1,1
283.28,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,nvidia,NVIDIA GeForce GT 720M,-1,ssd,256,0,256,0,14,1366,768,windows,0,0,0,0,1
638.87,lenovo,thinkpad,3,-1,intel,celeron,unknown,unknown,-1,intel,Intel HD Graphics 510,-1,ssd,256,0,256,0,15.6,1366,768,windows,0,0,0,1,0
559.7,dell,latitude,3,-1,intel,core_i5,intel_5,unknown,2.7,intel,Intel HD Graphics 5500,-1,ssd,2048,0,2048,0,14,1366,768,windows,0,0,0,0,1
352.61,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,256,0,256,0,14,1366,768,windows,0,0,0,0,1
691.61,lenovo,thinkpad,3,-1,intel,core_i3,intel_7,unknown,3,intel,Intel HD Graphics 620,-1,ssd,1024,0,1024,0,15.6,1920,1080,windows,0,0,1,1,1
625.86,lenovo,thinkpad,3,-1,intel,core_i5,intel_6,unknown,3,intel,Intel HD Graphics 520,-1,ssd,256,0,256,0,14,1920,1080,windows,1,0,1,1,1
481.7,fujitsu,lifebook,4,-1,intel,core_i5,intel_6,unknown,3,intel,Intel HD Graphics 520,-1,ssd,512,0,512,0,13.3,1366,768,windows,0,0,1,1,1
389.82,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,-1,intel,Intel HD Graphics 4400,-1,ssd,256,0,256,0,14,1366,768,windows,0,0,0,0,0
391.91,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,512,0,512,0,14,1366,768,windows,0,0,1,0,1
383.61,fujitsu,lifebook,3,-1,intel,core_i3,intel_4,unknown,3,intel,Intel HD Graphics 4600,-1,ssd,128,0,128,0,13.3,1366,768,windows,0,0,1,1,1
568.33,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.3,intel,Intel HD Graphics 520,-1,ssd,1024,0,1024,0,12.5,1920,1080,windows,1,0,1,1,1
573.02,fujitsu,lifebook,3,-1,intel,core_i5,intel_4,unknown,3,intel,Intel HD Graphics 4600,-1,ssd,1024,0,1024,0,15.6,1366,768,windows,0,0,1,0,1
451.42,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,nvidia,NVIDIA GeForce GT 720M,-1,ssd,1024,0,1024,0,14,1366,768,windows,0,0,0,0,1
221.27,dell,latitude,2,-1,unknown,unknown,unknown,unknown,-1,unknown,Unknown,-1,hdd,0,-1,-1,-1,15.6,1366,768,unknown,0,0,0,0,0
1463.37,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.8,intel,Intel HD Graphics 520,-1,ssd,4096,0,4096,0,12.5,1920,1080,windows,1,1,1,1,1
416.2,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,512,0,512,0,14,1366,768,windows,0,0,0,0,1
293.26,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,128,0,128,0,14,1366,768,windows,0,0,0,0,1
894,hp,other,6,2022,intel,core_i5,intel_12,H,4.4,nvidia,NVIDIA GeForce GTX 1650,64,ssd,2048,0,2048,0,15.6,1920,1080,windows,0,1,1,1,0
464.52,lenovo,other,3,-1,intel,core_i3,intel_7,unknown,2.4,intel,Intel HD Graphics 620,-1,ssd,128,0,128,0,13,1366,768,windows,0,0,1,1,1
334.19,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,2.6,intel,Intel HD Graphics 4400,-1,ssd,256,0,256,0,14,1366,768,windows,0,0,1,0,1
377.65,fujitsu,lifebook,3,-1,intel,core_i3,intel_4,unknown,-1,intel,Intel HD Graphics 4600,-1,ssd,256,0,256,0,14,1366,768,windows,0,0,0,1,0
307.22,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,-1,intel,Intel HD Graphics 4400,-1,ssd,128,0,128,0,14,1366,768,windows,0,0,0,0,0
1077.12,hp,spectre,3,-1,intel,core_i7,intel_11,unknown,-1,intel,Intel Iris Xe Graphics,-1,ssd,512,0,512,0,13.5,-1,-1,windows,0,0,0,0,0
449.73,lenovo,thinkpad,3,-1,intel,core_i5,intel_6,unknown,2.8,intel,Intel HD Graphics 620,-1,ssd,1024,0,1024,0,14,1920,1080,windows,0,1,1,0,1
271.99,dell,latitude,3,-1,intel,core_i5,intel_3,unknown,3,intel,Intel HD Graphics 4000,-1,ssd,128,0,128,0,14,1366,768,windows,0,0,0,0,1
468.95,dell,latitude,4,-1,intel,core_i5,intel_3,unknown,3.1,intel,Intel HD Graphics 4000,-1,ssd,1024,0,1024,0,14,1366,768,windows,0,0,0,0,1
652.23,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.8,intel,Intel HD Graphics 520,-1,ssd,1024,0,1024,0,12.5,1920,1080,windows,1,1,1,1,1
